year,adm_1,best
#date+year,#adm1+name,#affected+killed
2010,Somali state,0
2010,Somali state,0
2010,Somali state,3
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Oromiya state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,120
2010,,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2011,Somali state,21
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,1
2011,Somali state,0
2011,Somali state,1
2011,Somali state,1
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Oromiya state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2011,Somali state,0
2012,Somali state,23
2012,Somali state,0
2012,Somali state,0
2012,Somali state,0
2012,Somali state,0
2012,Somali state,0
2012,Somali state,0
2012,Somali state,0
2012,Somali state,0
2012,Somali state,0
2012,Somali state,0
2012,Somali state,0
2012,Somali state,0
2012,Somali state,0
2012,Somali state,0
2012,Somali state,0
2012,Somali state,0
2012,Somali state,1
2012,Somali state,1
2012,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,4
2013,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,0
2013,Somali state,24
2013,Somali state,0
2013,Somali state,8
2013,Somali state,8
2013,Somali state,8
2014,Somali state,25
2014,Somali state,0
2014,Somali state,0
2014,Somali state,0
2014,Somali state,0
2014,Somali state,0
2014,Somali state,0
2014,Somali state,0
2014,Somali state,0
2014,Somali state,0
2014,Somali state,0
2014,Somali state,0
2014,Somali state,0
2015,Somali state,25
2015,Somali state,0
2015,Somali state,0
2015,Somali state,0
2015,Somali state,0
2015,Somali state,0
2015,Somali state,0
2015,Somali state,0
2015,Somali state,0
2015,Somali state,0
2015,Somali state,0
2015,Somali state,0
2015,Somali state,0
2015,Somali state,0
2015,Somali state,0
2015,Somali state,0
2015,Somali state,0
2015,Somali state,0
2015,Somali state,0
2015,Somali state,0
2016,Somali state,25
2016,Somali state,0
2016,Somali state,0
2016,Somali state,0
2016,Somali state,0
2016,Somali state,0
2016,Somali state,0
2016,Somali state,0
2017,Somali state,0
2018,Somali state,0
2013,Somali state,0
2013,Somali state,0
2014,Somali state,0
2021,Somali state,1
1996,Afar state,25
1995,Addis Ababa Chartered city,4
1998,Tigray state,100
1998,Tigray state,3
1998,Tigray state,47
1998,Tigray state,3
1998,Tigray state,38
1998,Tigray state,4
1998,Tigray state,11
1998,Tigray state,2
1999,Tigray state,12
1999,,30000
1999,Tigray state,2
2000,,48183
2000,Tigray state,24
1989,,25
1989,Hararghe province,0
1989,Welega province,0
1989,Hararghe province,0
1989,Hararghe province,0
1989,Welega province,0
1990,Welega province,0
1990,Welega province,60
1990,Welega province,0
1990,Welega province,9
1990,Welega province,10
1990,Welega province,0
1990,Welega province,0
1990,Bale province,0
1990,Welega province,0
1990,Hararghe province,0
1990,Welega province,0
1990,Welega province,0
1990,Welega province,0
1990,Welega province,0
1990,Hararghe province,0
1990,Bale province,0
1990,Welega province,0
1990,Hararghe province,0
1990,Welega province,1
1990,Welega province,0
1990,Welega province,0
1990,Welega province,0
1991,Welega province,0
1991,Hararghe province,0
1991,Welega province,700
1992,Welega province,152
1992,Hararghe province,7
1992,Hararghe province,6
1992,Bale province,0
1992,Bale province,0
1993,Hararghe province,0
1993,Hararghe province,0
1993,Hararghe province,0
1994,,19
1994,Hararghe province,6
1994,Hararghe province,0
1995,,1
1995,Oromiya state,24
1995,Oromiya state,0
1995,Oromiya state,0
1997,Oromiya state,3
1997,Addis Ababa Chartered city,3
1998,,25
1999,SNNP state,0
1999,SNNP state,0
1999,,3
1999,Oromiya state,0
1999,Oromiya state,0
1999,Oromiya state,0
1999,,311
1999,,4
1999,Somali state,311
1999,,0
1999,Oromiya state,0
1999,Oromiya state,0
1999,,0
1999,Oromiya state,0
1999,Oromiya state,0
1999,Oromiya state,0
1999,,0
1999,,3
1999,Oromiya state,0
1999,,31
1999,Oromiya state,0
1999,Oromiya state,0
1999,Oromiya state,0
1999,Oromiya state,0
1999,Oromiya state,0
1999,Oromiya state,0
1999,Oromiya state,0
1999,Dire Dawa Chartered city,2
2000,Oromiya state,11
2000,,14
2000,Somali state,0
2000,Oromiya state,0
2000,Oromiya state,0
2000,Oromiya state,0
2000,Oromiya state,0
2000,Somali state,0
2000,Somali state,0
2000,Oromiya state,0
2000,Oromiya state,0
2000,Oromiya state,0
2000,Oromiya state,0
2000,Oromiya state,0
2000,Oromiya state,0
2000,Oromiya state,0
2000,Oromiya state,0
2000,Oromiya state,0
2000,,0
2000,Oromiya state,0
2001,Oromiya state,15
2001,Oromiya state,0
2001,Oromiya state,0
2001,Oromiya state,0
2001,Oromiya state,0
2001,Oromiya state,0
2001,Oromiya state,0
2001,Oromiya state,0
2001,Oromiya state,0
2001,Oromiya state,0
2001,Oromiya state,0
2001,Oromiya state,0
2001,Oromiya state,0
2001,Oromiya state,0
2001,Oromiya state,0
2001,Oromiya state,0
2001,Oromiya state,0
2002,Oromiya state,17
2002,Oromiya state,8
2002,Oromiya state,0
2002,Oromiya state,0
2002,Benishangul-Gumuz state,0
2002,Oromiya state,0
2002,Oromiya state,0
2002,Oromiya state,0
2002,Oromiya state,0
2002,Gambella state,0
2002,Gambella state,0
2002,Gambella state,0
2002,Gambella state,0
2002,Gambella state,0
2002,Gambella state,0
2002,,0
2002,Gambella state,0
2002,,0
2002,Oromiya state,0
2002,Oromiya state,0
2002,Oromiya state,0
2002,Oromiya state,0
2002,Oromiya state,0
2002,Oromiya state,0
2002,Oromiya state,0
2002,Oromiya state,0
2002,Oromiya state,0
